TIMESTAMP,METHOD,100-CNT,100-AVG,100-STD,100-MAX,180-CNT,180-AVG,180-STD,180-MAX,200-CNT,200-AVG,200-STD,200-MAX
1522682504,INVITE,0,0.00,0.00,0,442,29.56,36.19,136,165,555.08,20.79,629
1522682505,INVITE,0,0.00,0.00,0,498,249.83,81.90,402,473,702.02,77.34,876
1522682506,INVITE,0,0.00,0.00,0,553,425.95,28.91,496,552,911.09,55.14,1032
1522682507,INVITE,0,0.00,0.00,0,586,521.08,81.36,809,560,995.90,49.56,1175
1522682508,INVITE,0,0.00,0.00,0,1011,745.74,94.25,888,479,1124.18,56.32,1312
1522682509,INVITE,0,0.00,0.00,0,1557,918.44,137.19,1228,623,1274.48,29.07,1408
1522682510,INVITE,0,0.00,0.00,0,1496,519.94,227.25,1195,893,1015.22,167.39,1368
1522682511,INVITE,0,0.00,0.00,0,615,33.02,85.37,387,657,649.46,165.48,1264
1522682512,INVITE,0,0.00,0.00,0,612,11.98,38.76,222,646,634.13,231.79,1404
1522682513,INVITE,0,0.00,0.00,0,609,29.80,66.63,277,560,612.74,204.68,1119
1522682514,INVITE,0,0.00,0.00,0,601,10.33,15.93,90,666,598.32,148.10,1040
1522682515,INVITE,0,0.00,0.00,0,597,10.71,22.24,104,587,522.25,44.93,1004
1522682516,INVITE,0,0.00,0.00,0,595,6.26,17.98,137,601,542.64,75.86,746
1522682517,INVITE,0,0.00,0.00,0,598,11.10,24.24,158,581,559.23,93.53,854
1522682518,INVITE,0,0.00,0.00,0,578,26.51,57.98,319,540,602.72,177.97,1221
1522682519,INVITE,0,0.00,0.00,0,624,21.21,48.27,229,519,627.93,345.03,1725
1522682520,INVITE,0,0.00,0.00,0,608,10.63,21.14,143,802,772.67,420.51,1740
1522682521,INVITE,0,0.00,0.00,0,600,1.67,0.80,6,585,506.89,7.94,548
1522682522,INVITE,0,0.00,0.00,0,600,1.63,0.69,5,618,504.18,1.37,513
1522682523,INVITE,0,0.00,0.00,0,600,1.69,0.81,7,593,504.15,1.31,511
1522682524,INVITE,0,0.00,0.00,0,600,1.66,0.73,6,598,504.24,1.30,510
1522682525,INVITE,0,0.00,0.00,0,600,1.73,0.85,8,602,504.13,1.24,510
1522682526,INVITE,0,0.00,0.00,0,600,1.64,0.79,8,597,505.02,20.50,1004
1522682527,INVITE,0,0.00,0.00,0,600,1.69,0.76,5,613,504.17,1.40,514
