TIMESTAMP,METHOD,100-CNT,100-AVG,100-STD,100-MAX,180-CNT,180-AVG,180-STD,180-MAX,200-CNT,200-AVG,200-STD,200-MAX
1522682907,INVITE,0,0.00,0.00,0,451,24.97,31.68,123,170,551.90,21.29,633
1522682908,INVITE,0,0.00,0.00,0,503,229.37,81.82,400,493,690.59,75.35,856
1522682909,INVITE,0,0.00,0.00,0,545,422.28,33.41,713,529,900.85,59.19,1116
1522682910,INVITE,0,0.00,0.00,0,719,577.20,104.71,806,533,1004.68,52.15,1155
1522682911,INVITE,0,0.00,0.00,0,1030,759.83,89.57,889,527,1140.10,54.14,1289
1522682912,INVITE,0,0.00,0.00,0,1533,907.54,134.73,1237,605,1273.60,28.46,1408
1522682913,INVITE,0,0.00,0.00,0,1546,510.25,249.20,1170,921,1001.88,173.47,1356
1522682914,INVITE,0,0.00,0.00,0,570,7.05,27.12,237,632,598.35,79.94,871
1522682915,INVITE,0,0.00,0.00,0,600,32.16,67.11,277,548,572.66,163.39,1319
1522682916,INVITE,0,0.00,0.00,0,630,22.25,60.85,300,651,745.24,383.90,1590
1522682917,INVITE,0,0.00,0.00,0,600,5.11,9.48,58,691,596.78,182.99,1270
1522682918,INVITE,0,0.00,0.00,0,576,10.37,30.95,191,548,527.78,53.23,771
1522682919,INVITE,0,0.00,0.00,0,608,34.37,67.38,326,509,567.18,183.75,1407
1522682920,INVITE,0,0.00,0.00,0,616,14.89,31.16,159,651,687.30,316.10,1495
1522682921,INVITE,0,0.00,0.00,0,600,3.56,4.77,33,682,602.39,190.03,1306
1522682922,INVITE,0,0.00,0.00,0,600,2.64,3.51,31,625,509.57,15.61,610
1522682923,INVITE,0,0.00,0.00,0,600,1.96,1.64,13,581,505.60,8.12,611
1522682924,INVITE,0,0.00,0.00,0,600,1.69,0.79,6,617,504.10,1.30,513
1522682925,INVITE,0,0.00,0.00,0,600,1.68,0.77,7,590,504.05,1.25,511
1522682926,INVITE,0,0.00,0.00,0,600,1.69,0.83,6,595,504.17,1.31,512
1522682927,INVITE,0,0.00,0.00,0,600,1.67,0.73,6,616,504.09,1.27,512
1522682928,INVITE,0,0.00,0.00,0,600,1.73,0.84,7,591,504.06,1.17,510
1522682929,INVITE,0,0.00,0.00,0,600,1.70,0.78,6,611,504.21,1.34,511
1522682930,INVITE,0,0.00,0.00,0,600,1.67,0.81,7,579,504.13,1.31,513
1522682931,INVITE,0,0.00,0.00,0,600,1.83,1.24,18,624,504.25,1.67,517
1522682932,INVITE,0,0.00,0.00,0,600,1.67,0.80,8,578,504.24,1.54,520
1522682933,INVITE,0,0.00,0.00,0,600,1.69,0.83,10,625,504.07,1.34,513
1522682934,INVITE,0,0.00,0.00,0,600,1.65,0.76,6,587,504.10,1.33,512
1522682935,INVITE,0,0.00,0.00,0,600,1.67,0.67,5,605,504.17,1.25,510
1522682936,INVITE,0,0.00,0.00,0,600,1.74,0.78,5,601,504.17,1.41,512
1522682937,INVITE,0,0.00,0.00,0,600,1.71,0.78,7,596,504.29,1.66,524
1522682938,INVITE,0,0.00,0.00,0,600,1.74,0.80,6,604,504.15,1.22,511
1522682939,INVITE,0,0.00,0.00,0,600,1.66,0.70,4,593,504.13,1.32,511
1522682940,INVITE,0,0.00,0.00,0,600,1.65,0.77,5,592,504.16,1.27,513
1522682941,INVITE,0,0.00,0.00,0,600,1.64,0.80,6,614,504.14,1.28,512
1522682942,INVITE,0,0.00,0.00,0,600,1.60,0.71,6,589,504.08,1.33,514
1522682943,INVITE,0,0.00,0.00,0,565,13.54,37.04,226,484,506.47,19.11,716
1522682944,INVITE,0,0.00,0.00,0,540,94.33,130.24,423,324,582.46,252.08,1663
1522682945,INVITE,0,0.00,0.00,0,706,163.43,294.61,1104,719,998.14,621.22,2407
1522682946,INVITE,0,0.00,0.00,0,716,194.76,430.38,1503,568,574.12,346.48,3318
1522682947,INVITE,0,0.00,0.00,0,612,32.42,190.02,1455,636,642.85,450.49,4347
1522682948,INVITE,0,0.00,0.00,0,600,10.18,27.30,151,674,727.62,886.22,5053
1522682949,INVITE,0,0.00,0.00,0,600,3.92,6.33,46,655,1026.21,1477.32,5527
1522682950,INVITE,0,0.00,0.00,0,600,7.50,14.38,98,696,1206.54,1711.48,5675
1522682951,INVITE,0,0.00,0.00,0,600,5.31,12.64,68,606,907.59,1377.56,5768
1522682952,INVITE,0,0.00,0.00,0,600,9.39,19.05,94,580,555.41,96.43,867
1522682953,INVITE,0,0.00,0.00,0,600,4.44,7.49,45,667,577.11,151.82,1048
1522682954,INVITE,0,0.00,0.00,0,600,1.65,0.83,7,586,504.21,1.52,513
1522682955,INVITE,0,0.00,0.00,0,600,1.62,0.66,4,626,504.16,1.31,511
1522682956,INVITE,0,0.00,0.00,0,600,1.56,0.71,8,587,503.99,1.26,512
1522682957,INVITE,0,0.00,0.00,0,600,1.67,0.77,6,601,504.16,1.44,513
1522682958,INVITE,0,0.00,0.00,0,600,1.63,0.75,6,603,504.12,1.41,514
1522682959,INVITE,0,0.00,0.00,0,600,1.68,0.77,7,603,504.17,1.37,511
1522682960,INVITE,0,0.00,0.00,0,600,1.60,0.75,7,596,504.07,1.22,512
1522682961,INVITE,0,0.00,0.00,0,600,1.66,0.74,5,602,504.12,1.29,511
1522682962,INVITE,0,0.00,0.00,0,600,1.64,0.75,5,608,504.09,1.24,511
1522682963,INVITE,0,0.00,0.00,0,600,1.64,0.75,6,586,504.02,1.19,510
1522682964,INVITE,0,0.00,0.00,0,600,1.64,0.83,9,599,504.06,1.28,512
1522682965,INVITE,0,0.00,0.00,0,600,1.60,0.74,5,610,505.03,20.49,1009
1522682966,INVITE,0,0.00,0.00,0,600,1.62,0.75,7,608,504.04,1.36,513
1522682967,INVITE,0,0.00,0.00,0,600,1.59,0.75,5,584,504.03,1.27,514
1522682968,INVITE,0,0.00,0.00,0,600,1.61,0.73,5,618,504.04,1.24,511
1522682969,INVITE,0,0.00,0.00,0,600,1.62,0.69,4,586,504.03,1.29,511
1522682970,INVITE,0,0.00,0.00,0,600,1.56,0.76,7,608,504.07,1.39,513
1522682971,INVITE,0,0.00,0.00,0,600,1.59,0.72,5,590,504.00,1.24,513
1522682972,INVITE,0,0.00,0.00,0,600,1.60,0.77,6,611,504.03,1.30,515
1522682973,INVITE,0,0.00,0.00,0,600,1.61,0.67,5,597,504.01,1.21,512
1522682974,INVITE,0,0.00,0.00,0,600,1.63,0.73,6,593,504.10,1.20,510
1522682975,INVITE,0,0.00,0.00,0,600,1.63,0.78,7,615,504.17,1.41,512
1522682976,INVITE,0,0.00,0.00,0,600,1.63,0.73,5,592,504.07,1.27,512
1522682977,INVITE,0,0.00,0.00,0,600,1.66,0.80,7,609,504.12,1.29,511
1522682978,INVITE,0,0.00,0.00,0,600,1.65,0.80,6,585,504.12,1.36,513
1522682979,INVITE,0,0.00,0.00,0,600,2.49,20.40,501,621,504.09,1.33,511
1522682980,INVITE,0,0.00,0.00,0,600,1.60,0.71,5,586,504.04,1.16,509
1522682981,INVITE,0,0.00,0.00,0,600,1.66,0.80,6,606,504.05,1.27,515
1522682982,INVITE,0,0.00,0.00,0,600,1.59,0.77,6,592,504.01,1.21,510
1522682983,INVITE,0,0.00,0.00,0,600,1.62,0.78,8,608,503.99,1.18,509
1522682984,INVITE,0,0.00,0.00,0,600,1.61,0.76,6,584,504.11,1.36,512
1522682985,INVITE,0,0.00,0.00,0,600,1.62,0.81,10,624,504.00,1.26,510
1522682986,INVITE,0,0.00,0.00,0,600,1.63,0.71,5,597,504.09,1.22,511
1522682987,INVITE,0,0.00,0.00,0,600,1.65,0.76,6,597,504.14,1.37,511
1522682988,INVITE,0,0.00,0.00,0,600,1.66,0.84,9,595,504.06,1.41,511
1522682989,INVITE,0,0.00,0.00,0,600,1.61,0.72,6,609,504.09,1.33,512
1522682992,INVITE,0,0.00,0.00,0,200,1.63,0.67,4,466,504.10,1.34,512
